Customer_ID,Age,Gender,Region,Channel,Marketing_Spend,Responded,Revenue,Cost,ROI
1,56,Male,South,Referral,104.01,0,0.0,117.94,0.0
2,46,Male,South,TV,79.5,0,0.0,70.28,0.0
3,32,Female,South,Email,91.97,1,222.28,88.25,1.52
4,60,Female,South,Email,46.8,0,0.0,37.63,0.0
5,25,Female,South,Referral,129.54,1,353.36,119.27,1.96
6,38,Female,East,TV,104.52,0,0.0,96.94,0.0
7,56,Male,South,Phone Call,56.67,0,0.0,61.94,0.0
8,36,Female,South,TV,112.56,0,0.0,120.54,0.0
9,40,Male,East,Email,106.24,1,161.76,103.9,0.56
10,28,Male,East,Social Media,79.34,0,0.0,86.59,0.0
11,28,Female,North,Referral,159.05,1,300.27,154.49,0.94
12,41,Male,North,Social Media,115.48,1,296.09,112.46,1.63
13,53,Male,South,Phone Call,138.71,0,0.0,146.78,0.0
14,57,Male,South,TV,95.17,1,229.19,103.65,1.21
15,41,Male,North,Phone Call,51.25,0,0.0,58.36,0.0
16,20,Female,North,Social Media,30.29,1,87.56,33.34,1.63
17,39,Female,West,TV,69.58,1,190.29,74.32,1.56
18,19,Male,West,Phone Call,140.44,0,0.0,143.89,0.0
19,41,Female,South,Email,84.7,0,0.0,78.2,0.0
20,61,Male,West,Email,131.24,1,325.73,118.69,1.74
21,47,Female,North,Referral,65.01,0,0.0,73.93,0.0
22,55,Female,South,Email,80.12,0,0.0,87.09,0.0
23,19,Female,East,Email,84.45,0,0.0,90.03,0.0
24,38,Female,East,Social Media,106.75,0,0.0,96.46,0.0
25,50,Female,North,Email,59.43,1,98.02,70.6,0.39
26,29,Male,West,Email,76.17,0,0.0,63.41,0.0
27,39,Female,East,Social Media,93.01,1,221.08,105.59,1.09
28,61,Male,West,Email,59.71,0,0.0,52.81,0.0
29,42,Male,East,Email,47.21,0,0.0,45.18,0.0
30,44,Female,West,Referral,100.86,0,0.0,97.95,0.0
31,59,Male,East,Email,60.18,1,132.35,64.09,1.07
32,45,Female,East,Email,136.44,0,0.0,138.98,0.0
33,33,Male,South,Referral,137.26,0,0.0,120.03,0.0
34,32,Male,South,Social Media,82.5,1,208.33,66.99,2.11
35,64,Female,North,Email,118.06,1,196.39,128.32,0.53
36,61,Female,East,Phone Call,102.07,1,192.25,102.27,0.88
37,20,Female,West,Social Media,132.03,1,355.49,124.73,1.85
38,54,Female,East,Social Media,86.25,1,216.08,78.82,1.74
39,24,Male,West,Email,115.31,1,219.02,130.21,0.68
40,38,Female,West,Referral,109.35,0,0.0,122.28,0.0
41,26,Male,East,Social Media,107.82,0,0.0,121.89,0.0
42,56,Male,West,Referral,81.52,0,0.0,72.36,0.0
43,35,Male,North,Phone Call,135.57,1,374.41,154.66,1.42
